player_id,player_name,team_id,team_name,position,rival,es_local,partidos_historicos,partidos_club_ultimos_3,participaciones_ultimos_3,activo_ultimos_3,titulares_ultimos_3,titular_2_de_3,weighted_recent,promedio,p90,std,minimo,maximo,confianza,estabilidad,factor_confianza,factor_contexto,score_base,score_contextual,starter_fecha10
p_36ULM2,Ignacio Russo,t_1L8FaD,Tigre,DEL,Vélez Sarsfield,False,25,3,3,True,3,True,5.236573333333334,7.524432000000001,15.920200000000003,6.6579025103456315,0.2314,28.2763,1.0,0.13058405988441685,1.0,0.9819999999999998,8.822623466666668,8.663816244266666,True
p_0lZVBC,Lautaro Morales,t_1L8FaD,Tigre,ARQ,Vélez Sarsfield,False,1,3,3,True,0,False,10.29,10.29,10.29,0.0,10.29,10.29,0.7333333333333334,1.0,0.9733333333333334,0.9819999999999998,10.29,9.835319199999997,False
p_34Y0Ej,Guillermo Soto,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,6,3,2,True,0,False,4.560033333333333,5.965583333333334,10.817450000000001,5.286846606595152,0.2025,15.2194,0.7318124510609487,0.15906225530474377,0.9731812451060949,0.9819999999999998,6.686607500000001,6.390149954162808,False
p_0HLKx2,Gonzalo Requena,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,2,3,3,True,0,False,5.571133333333333,4.853350000000001,6.57603,3.045296774536104,2.7,7.0067,0.6161067970568369,0.24720065195085109,0.9616106797056837,0.9819999999999998,5.535244166666667,5.226940407147238,False
p_422Dh0,Federico Álvarez,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,19,3,3,True,0,False,6.72648,9.081915789473683,13.49348,3.9091027103789937,0.805,16.275,1.0,0.20370321400808453,1.0,0.9819999999999998,9.360404315789474,9.191917038105261,False
p_2OigHb,Bruno Leyes,t_1L8FaD,Tigre,VOL,Vélez Sarsfield,False,19,3,3,True,1,False,3.0233266666666667,7.553052631578947,11.642399999999999,3.832231659717702,1.3429,16.2174,1.0,0.20694372091805296,1.0,0.9819999999999998,6.9899853859649115,6.864165649017542,False
p_34yTml,Sebastián Medina,t_1L8FaD,Tigre,VOL,Vélez Sarsfield,False,12,3,3,True,0,False,2.2712866666666667,2.717633333333333,4.18374,1.8934651857631206,1.246,8.04,0.969121274029517,0.34560637014758505,0.9969121274029518,0.9819999999999998,2.9279386666666665,2.866357408920371,False
p_4OfzNB,Tiago Serrago,t_1L8FaD,Tigre,VOL,Vélez Sarsfield,False,19,3,3,True,1,False,2.860033333333334,4.782,7.271979999999999,4.690471847148098,-0.3106,20.9259,1.0,0.175732351703167,1.0,0.9819999999999998,4.7318066666666665,4.646634146666665,False
p_0AvvFI,Alfio Oviedo,t_1L8FaD,Tigre,DEL,Vélez Sarsfield,False,13,3,2,True,0,False,-0.5074533333333334,1.6371846153846152,3.8680000000000003,2.815036145370711,-4.344,7.9844,0.9857574762192891,0.26212071442977875,0.9985757476219289,0.9819999999999998,1.4442651794871795,1.4162484341060562,False
p_34bboz,Ignacio Peluffo,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,5,3,3,True,0,False,2.2101,2.5794200000000003,6.72592,3.9048440176273362,-0.69,8.8688,0.7074426830458272,0.20388008189580284,0.9707442683045827,0.9819999999999998,3.4867830000000004,3.323848669054564,False
