player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Santiago Moyano,Central Córdoba,DEF,23,6.571,6.59
Luciano Vallejo,Atlético Tucumán,DEF,15,6.733,6.567
Ignacio Galván,Atlético Tucumán,DEF,20,6.626,6.567
Leonel Di Plácido,Atlético Tucumán,DEF,14,6.79,6.505
Facundo Mallo,Rosario Central,DEF,13,6.29,6.494
Santiago Moya,Aldosivi,DEF,9,6.733,6.443
Gonzalo Gonzalez,Estudiantes de Río Cuarto,DEF,10,6.062,6.412
Eros Mancuso,Estudiantes de La Plata,DEF,19,6.555,6.41
Leonard Costa,Independiente Rivadavia,DEF,23,6.461,6.406
Leonardo Godoy,CA Independiente,DEF,15,6.136,6.405
Juan Pablo Pignani,Central Córdoba,DEF,8,7.137,6.374
Tobías Ostchega,Estudiantes de Río Cuarto,DEF,11,5.917,6.328
Thiago Santamaría,Sarmiento,DEF,16,6.159,6.325
Gianluca Ferrari,Atlético Tucumán,DEF,9,6.463,6.32
Agustín Massaccesi,Instituto De Córdoba,DEF,10,6.514,6.307
Hugo Nervo,Huracán,DEF,18,6.243,6.296
Nicolas Capraro,Barracas Central,DEF,19,6.157,6.285
Nicolás Sansotre,Deportivo Riestra,DEF,23,6.248,6.235
Juan Fedorco,CA Independiente,DEF,16,6.431,6.176
Facundo Miño,Deportivo Riestra,DEF,22,6.191,6.175
Valente Pierani,Estudiantes de La Plata,DEF,3,6.101,6.097
Aarón Quirós,Vélez Sarsfield,DEF,7,5.703,6.084
Franco Pardo,Racing Club,DEF,14,5.805,6.072
Facundo Cobos,Estudiantes de Río Cuarto,DEF,12,6.512,6.063
Ignacio Campo,Huracán,DEF,12,5.951,6.062
Elías Verón,Rosario Central,DEF,7,6.502,6.061
Nazareno Colombo,Racing Club,DEF,13,5.685,6.045
Luciano Paredes,Gimnasia y Esgrima Mendoza,DEF,21,6.254,6.005
Simon Escobar,Vélez Sarsfield,DEF,6,5.513,5.975
Pedro Ramírez,Deportivo Riestra,DEF,17,5.874,5.869
Milton Valenzuela,CA Independiente,DEF,7,5.727,5.857
Rafael Barrios,Barracas Central,DEF,18,6.04,5.843
Timoteo Chamorro,CA Talleres,DEF,9,5.904,5.781
Juan Franco,Gimnasia y Esgrima Mendoza,DEF,10,5.495,5.739
Joaquín Novillo,Aldosivi,DEF,8,5.766,5.737
Federico Ricca,Club Atlético Belgrano,DEF,12,5.749,5.67
Matías Viña,River Plate,DEF,10,6.108,5.628
Lucas Rodríguez,Aldosivi,DEF,11,6.198,5.363
Bruno Cabrera,Newell's Old Boys,DEF,12,5.341,5.353
Claudio Bravo,Argentinos Juniors,DEF,9,5.691,5.303
Alex Vigo,Independiente Rivadavia,DEF,5,5.935,5.294
Gastón Martirena,Racing Club,DEF,8,6.148,5.278
Agustin Quiroga,Central Córdoba,DEF,13,5.488,5.277
Carlos Quintana,Deportivo Riestra,DEF,7,5.919,5.274
Ezequiel Bonifacio,Independiente Rivadavia,DEF,14,5.505,5.234
Valentín Fascendini,Club Atlético Unión de Santa Fe,DEF,5,4.609,5.134
Nehuén Paz,Huracán,DEF,5,5.603,5.079
Agustín Lagos,Club Atlético Platense,DEF,12,5.39,5.071
