match_id,date,round_name,home_team,away_team,score_home,score_away,referee,goles_totales,resultado_local
m_1qQfO1,2026-04-26,16,Independiente Rivadavia,Gimnasia Mendoza,5.0,1.0,Yael Falcón Pérez,6.0,G
m_1qqpJe,2026-05-05,9,Estudiantes de Río Cuarto,Instituto,0.0,2.0,Andrés Merlos,2.0,P
m_1R2IMx,2026-07-29,2,Defensa y Justicia,Deportivo Riestra,2.0,1.0,Bruno Amiconi,3.0,G
m_1sCl2u,2026-03-17,11,Lanús,Newell's Old Boys,5.0,0.0,Bruno Amiconi,5.0,G
m_1sTPds,2026-08-02,3,Deportivo Riestra,Barracas Central,0.0,1.0,Darío Herrera,1.0,P
m_1tC6eA,2026-04-03,13,Gimnasia Mendoza,Vélez Sarsfield,3.0,2.0,Álvaro Carranza,5.0,G
m_1tV17s,2026-01-26,2,Club Atlético Platense,Instituto,2.0,1.0,Bruno Amiconi,3.0,G
m_1uocnY,2026-04-11,14,Boca Juniors,Independiente,1.0,1.0,Andrés Merlos,2.0,E
m_1UxCxs,2026-05-02,9,Barracas Central,Banfield,1.0,2.0,Darío Herrera,3.0,P
m_1Vr866,2026-04-18,15,Instituto,Estudiantes,0.0,1.0,Hernán Mastrángelo,1.0,P
m_1VteVu,2026-04-12,14,Estudiantes de Río Cuarto,Barracas Central,1.0,2.0,Pablo Dóvalo,3.0,P
m_1W1wwo,2026-09-06,8,Central Córdoba de Santiago,Independiente,0.0,1.0,Andrés Carlos Gariano,1.0,P
m_1wAs6k,2026-08-06,2,Unión,Lanús,2.0,1.0,Nicolás Lamolina,3.0,G
m_1WEirs,2026-04-12,14,Newell's Old Boys,San Lorenzo,0.0,0.0,Sebastián Nicolás Martínez,0.0,E
m_1WfN4f,2026-07-30,2,Instituto,Club Atlético Platense,2.0,1.0,Luis Lobo Medina,3.0,G
m_1wLnDu,2026-04-03,13,Unión,Deportivo Riestra,2.0,0.0,Darío Herrera,2.0,G
m_1XEoaS,2026-05-02,9,Lanús,Deportivo Riestra,0.0,0.0,Sebastián Nicolás Martínez,0.0,E
m_1Y4U8l,2026-03-23,12,Argentinos Juniors,Club Atlético Platense,1.0,0.0,Fernando Echenique,1.0,G
m_1YGhXX,2026-09-01,7,Instituto,San Lorenzo,1.0,0.0,Andrés Carlos Gariano,1.0,G
m_1YnVax,2026-07-29,2,Rosario Central,Racing Club,0.0,0.0,Hernán Mastrángelo,0.0,E
m_208YJA,2026-08-09,4,Defensa y Justicia,Newell's Old Boys,2.0,1.0,Álvaro Carranza,3.0,G
m_20gfAy,2026-01-29,2,Deportivo Riestra,Defensa y Justicia,0.0,1.0,Hernán Mastrángelo,1.0,P
m_21nAGO,2026-02-07,4,Racing Club,Argentinos Juniors,2.0,1.0,Hernán Mastrángelo,3.0,G
m_21tO51,2026-05-10,1/8,River Plate,San Lorenzo,2.0,2.0,Sebastían Zunino,4.0,E
m_23LFB9,2026-08-11,4,Unión,Central Córdoba de Santiago,1.0,2.0,Nazareno Arasa,3.0,P
m_23XA3J,2026-08-31,7,Estudiantes,Newell's Old Boys,0.0,0.0,Juan Pafundi,0.0,E
m_24NuK9,2026-04-02,13,Talleres,Boca Juniors,0.0,1.0,Nazareno Arasa,1.0,P
m_2518A4,2026-04-17,15,Unión,Newell's Old Boys,2.0,3.0,Fernando Espinoza,5.0,P
m_25L4uT,2026-02-26,7,River Plate,Banfield,3.0,1.0,Hernán Mastrángelo,4.0,G
m_25ZLbm,2026-05-24,final,River Plate,Belgrano,2.0,3.0,Yael Falcón Pérez,5.0,P
m_26MC0h,2026-08-05,2,Boca Juniors,Estudiantes,1.0,0.0,Nazareno Arasa,1.0,G
m_29QdK5,2026-05-03,9,River Plate,Atlético Tucumán,0.0,1.0,Yael Falcón Pérez,1.0,P
m_2a1a7F,2026-02-14,5,Talleres,Gimnasia Mendoza,2.0,1.0,Darío Herrera,3.0,G
m_2AINHd,2026-04-19,15,Rosario Central,Sarmiento,2.0,1.0,Andrés Merlos,3.0,G
m_2ASJLP,2026-02-26,7,Racing Club,Independiente Rivadavia,1.0,1.0,Darío Herrera,2.0,E
m_2byNvS,2026-02-25,7,Newell's Old Boys,Estudiantes,0.0,2.0,Nicolás Lamolina,2.0,P
m_2citFn,2026-02-01,3,Talleres,Club Atlético Platense,1.0,2.0,Carlos Andrés Gariano,3.0,P
m_2ckNSG,2026-08-10,4,Banfield,Belgrano,0.0,2.0,Sebastián Nicolás Martínez,2.0,P
m_2daQ30,2026-01-30,2,Sarmiento,Banfield,1.0,0.0,Sebastián Nicolás Martínez,1.0,G
m_2dkzXZ,2026-02-25,7,Barracas Central,Tigre,2.0,1.0,Pablo Dóvalo,3.0,G
m_2dZtBq,2026-05-10,1/8,Rosario Central,Independiente,3.0,1.0,Yael Falcón Pérez,4.0,G
m_2e6Rvv,2026-03-13,10,Huracán,River Plate,1.0,2.0,Nicolás Ramírez,3.0,P
m_2EBOtR,2026-08-03,3,Lanús,Instituto,0.0,1.0,Nazareno Arasa,1.0,P
m_2eHqO4,2026-09-01,7,Tigre,Barracas Central,0.0,0.0,Facundo Tello,0.0,E
m_2g93PE,2026-04-19,15,Talleres,Deportivo Riestra,2.0,0.0,Fernando Echenique,2.0,G
m_2gIXlp,2026-03-21,12,Newell's Old Boys,Gimnasia Mendoza,1.0,0.0,Sebastían Zunino,1.0,G
m_2GNnDW,2026-08-02,3,Aldosivi,Gimnasia LP,1.0,2.0,Luis Lobo Medina,3.0,P
m_2HMWiS,2026-02-16,5,Rosario Central,Barracas Central,2.0,0.0,Pablo Echavarría,2.0,G
m_2hRZh7,2026-03-02,8,Deportivo Riestra,Club Atlético Platense,0.0,0.0,Nazareno Arasa,0.0,E
m_2hYXmh,2026-01-25,1,Boca Juniors,Deportivo Riestra,1.0,0.0,Sebastían Zunino,1.0,G
m_2HZGss,2026-09-12,9,Boca Juniors,Central Córdoba de Santiago,3.0,1.0,Yael Falcón Pérez,4.0,G
