--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
926,Juan Sforza,ar ARG,MF,Talleres–C,24-213,2002,13.3,0,9,2,22.2,0.68,0.15,0.00,0.00,0,0,Matches,ff112582
927,Leonardo Sigali,ar ARG,DF,Aldosivi,39-109,1987,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,aeb53bd6
928,Tomás Silva,ar ARG,DF,Platense,23-191,2003,20.0,0,8,0,0.0,0.40,0.00,0.00,,0,0,Matches,3f83ab59
929,Pedro Silva Torrejón,ar ARG,DF,Gimnasia–LP,29-233,1997,23.9,0,16,5,31.3,0.67,0.21,0.00,0.00,0,0,Matches,638b2975
930,Thiago Silvero,ar ARG,DF,Vélez Sarsfield,20-150,2006,11.2,1,11,5,45.5,0.98,0.45,0.09,0.20,0,0,Matches,f5ac3688
931,Valentino Simoni,ar ARG,FW,Gimnasia–M,22-138,2004,7.1,1,8,7,87.5,1.13,0.99,0.13,0.14,0,0,Matches,281c8dd7
932,Mauro Smarra Vargas,ar ARG,FW,Dep. Riestra,27-138,1999,3.0,0,6,1,16.7,2.01,0.34,0.00,0.00,0,0,Matches,e87e9c52
933,Augusto Solari,ar ARG,MF,Unión,34-255,1992,2.0,0,5,2,40.0,2.56,1.02,0.00,0.00,0,0,Matches,3ca6106c
934,Santiago Solari,ar ARG,MF,Newell's,28-239,1998,1.7,0,2,1,50.0,1.15,0.58,0.00,0.00,0,1,Matches,5099e15e
935,Santiago Solari,ar ARG,FWMF,Racing Club,28-239,1998,14.3,2,30,8,26.7,2.10,0.56,0.07,0.25,0,0,Matches,5099e15e
936,Alan Soñora,us USA,MF,Newell's,28-043,1998,0.6,1,1,1,100.0,1.76,1.76,1.00,1.00,0,0,Matches,4b71bfe4
937,Alan Sosa,ar ARG,MFFW,Aldosivi,23-133,2003,10.7,1,25,6,24.0,2.33,0.56,0.04,0.17,0,0,Matches,18e371a1
938,Diego Sosa,ar ARG,MFDF,Instituto,29-049,1997,24.2,1,29,7,24.1,1.20,0.29,0.03,0.14,0,0,Matches,f90d3b57
939,Gonzalo Sosa,ar ARG,FW,Racing Club,21-194,2005,1.1,0,2,0,0.0,1.87,0.00,0.00,,0,0,Matches,e9c30bb7
