--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
181,Mauricio Cardillo,ar ARG,MF,CA San Lorenzo,23-188,2003,3.4,0,5,2,40.0,1.46,0.58,0.00,0.00,0,0,Matches,8681ad73
182,Agustín Cardozo,ar ARG,MF,Lanús,29-108,1997,20.8,0,8,2,25.0,0.38,0.10,0.00,0.00,0,0,Matches,1b677f5e
183,Juan Cardozo,py PAR,MF,C. Córdoba–SdE,22-203,2004,5.8,0,0,0,,0.00,0.00,,,0,0,Matches,e68bce6e
184,Thiago Cardozo,uy URU,GK,Belgrano,30-046,1996,24.0,0,0,0,,0.00,0.00,,,0,0,Matches,d99c8e00
185,Lautaro Carrera,ar ARG,DF,Gimnasia–M,23-108,2003,6.8,0,4,0,0.0,0.59,0.00,0.00,,0,0,Matches,0cc742f4
186,Ramiro Carrera,ar ARG,MFFW,Lanús,32-326,1993,14.0,2,40,11,27.5,2.86,0.79,0.05,0.18,0,0,Matches,44c271db
187,Guido Carrillo,ar ARG,FW,Estudiantes–LP,35-113,1991,14.7,3,51,24,47.1,3.47,1.63,0.06,0.13,0,1,Matches,8f898ba8
188,Facundo Carrizo,ar ARG,FW,Arg Juniors,19-107,2007,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,2d4f563a
189,Lucas Carrizo,ar ARG,DF,Newell's,29-118,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,2bfc68c3
190,Lucas Carrizo,ar ARG,DFMF,Huracán,29-118,1997,12.1,0,4,1,25.0,0.33,0.08,0.00,0.00,0,0,Matches,2bfc68c3
191,Maher Carrizo,ar ARG,MF,Vélez Sarsfield,20-208,2006,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,Matches,9ce60d15
192,Yuri Casermeiro,ar ARG,DF,C. Córdoba–SdE,24-187,2002,7.3,0,3,0,0.0,0.41,0.00,0.00,,0,0,Matches,37236393
193,Kevin Castaño,co COL,MF,River Plate,25-351,2000,1.1,0,1,0,0.0,0.94,0.00,0.00,,0,0,Matches,c393c3d9
194,Rodrigo Castillo,ar ARG,FW,Lanús,27-201,1999,4.0,1,7,4,57.1,1.76,1.01,0.14,0.25,0,0,Matches,da71df54
195,Alexis Castro,ar ARG,MF,Estudiantes–LP,31-332,1994,12.8,4,22,6,27.3,1.72,0.47,0.18,0.67,0,0,Matches,94e40a9f
196,Lucas Castro,ar ARG,MF,Gimnasia–LP,37-159,1989,3.3,0,9,0,0.0,2.75,0.00,0.00,,0,0,Matches,56b2957b
197,Lucas Castro,ar ARG,MF,Aldosivi,37-159,1989,8.0,1,9,5,55.6,1.13,0.63,0.11,0.20,0,0,Matches,56b2957b
198,Matías Catalán,cl CHI,DF,Talleres–C,34-027,1992,17.2,0,9,2,22.2,0.52,0.12,0.00,0.00,0,0,Matches,e7eab8e7
199,Edinson Cavani,uy URU,FW,Boca Juniors,39-213,1987,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,527f063d
200,Julián Ceballos,ar ARG,MFFW,Gimnasia–M,22-002,2004,7.8,0,10,2,20.0,1.29,0.26,0.00,0.00,0,0,Matches,4902f18b
201,Milton Céliz,ar ARG,MF,Dep. Riestra,34-052,1992,9.0,1,24,10,41.7,2.67,1.11,0.04,0.10,1,1,Matches,92a6cccf
202,Giuliano Cerato,ar ARG,MFDF,Instituto,28-097,1998,24.6,5,21,11,52.4,0.85,0.45,0.24,0.45,0,0,Matches,f88ec6d6
203,Valentín Cerrudo,ar ARG,FW,Unión,20-182,2006,0.3,0,2,1,50.0,7.20,3.60,0.00,0.00,0,0,Matches,67e769b4
204,Ezequiel Cerutti,ar ARG,MFFW,CA San Lorenzo,34-241,1992,4.7,0,7,1,14.3,1.48,0.21,0.00,0.00,0,0,Matches,635c9552
205,Franco Cervi,ar ARG,FWMF,Rosario Central,32-112,1994,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,5e1028e5
206,Edwuin Cetré,co COL,MFFW,Estudiantes–LP,28-257,1998,10.2,0,21,7,33.3,2.06,0.69,0.00,0.00,0,0,Matches,9e81aaf7
207,Juan Chala,co COL,FW,Estudiantes–RC,22-195,2004,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,830c2fb3
208,Timoteo Chamorro,ar ARG,MF,Talleres–C,20-219,2006,6.3,0,12,6,50.0,1.90,0.95,0.00,0.00,0,0,Matches,8d938a21
209,Ignacio Charparin,ar ARG,FWMF,Gimnasia–M,27-056,1999,8.2,1,18,6,33.3,2.20,0.73,0.06,0.17,0,0,Matches,062673d9
210,Andrés Chávez,ar ARG,FW,Aldosivi,35-178,1991,1.8,0,8,4,50.0,4.47,2.24,0.00,0.00,0,0,Matches,3e3ee8f7
211,Emiliano Chiavassa,ar ARG,MF,Talleres–C,20-256,2006,1.7,0,2,0,0.0,1.15,0.00,0.00,,0,0,Matches,ce797009
212,Ignacio Chicco,ar ARG,GK,Aldosivi,30-077,1996,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,3723f64a
213,Diego Churín,ar ARG,FWMF,Sarmiento–J,36-288,1989,9.2,2,17,6,35.3,1.86,0.66,0.12,0.33,1,1,Matches,875ac6e9
214,Luciano Cingolani,ar ARG,MFFW,Gimnasia–M,25-162,2001,8.6,1,19,11,57.9,2.22,1.29,0.05,0.09,0,0,Matches,93f1acf1
215,Facundo Cobos,ar ARG,DFMF,Estudiantes–RC,33-208,1993,8.3,1,3,2,66.7,0.36,0.24,0.33,0.50,0,0,Matches,5d88b1cf
216,Matías Cóccaro,uy URU,FWMF,Newell's,28-304,1997,11.7,6,25,12,48.0,2.14,1.03,0.24,0.50,1,1,Matches,caed0767
217,Agustín Colazo,ar ARG,FW,Gimnasia–LP,25-304,2000,3.0,2,5,3,60.0,1.64,0.99,0.40,0.67,0,0,Matches,89fd5410
218,Agustín Colazo,ar ARG,FW,Unión,25-304,2000,2.0,1,7,3,42.9,3.44,1.48,0.14,0.33,0,0,Matches,89fd5410
219,Nicolás Colazo,ar ARG,MF,Banfield,36-069,1990,1.1,0,1,0,0.0,0.91,0.00,0.00,,0,0,Matches,161b89a2
220,Facundo Colidio,ar ARG,FWMF,River Plate,26-254,2000,10.9,3,21,9,42.9,1.93,0.83,0.14,0.33,0,0,Matches,69a6523a
221,Nazareno Colombo,ar ARG,DF,Racing Club,27-179,1999,7.5,1,8,1,12.5,1.07,0.13,0.13,1.00,0,0,Matches,8127de9b
222,Gabriel Compagnucci,ar ARG,MFDF,Atlé Tucumán,35-017,1991,4.4,0,9,0,0.0,2.03,0.00,0.00,,0,0,Matches,9d3e62ff
223,Tomás Conechny,ar ARG,FWMF,Racing Club,28-169,1998,12.4,3,21,5,23.8,1.69,0.40,0.14,0.60,0,0,Matches,f61143dd
224,Germán Conti,ar ARG,DF,Gimnasia–LP,32-104,1994,5.7,1,3,2,66.7,0.53,0.35,0.33,0.50,0,0,Matches,7b18b6db
225,Julián Contrera,ar ARG,MF,Sarmiento–J,23-128,2003,14.0,0,15,6,40.0,1.07,0.43,0.00,0.00,0,0,Matches,707ba477
226,Enzo Copetti,ar ARG,FWMF,Rosario Central,30-242,1996,12.1,4,27,9,33.3,2.23,0.74,0.15,0.44,0,0,Matches,a535dbc6
227,Nicolás Cordero,ar ARG,FW,Aldosivi,27-157,1999,13.2,2,33,10,30.3,2.50,0.76,0.06,0.20,0,0,Matches,78f10ec0
228,Alejo Córdoba,ar ARG,DF,CA San Lorenzo,22-131,2004,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,ceb75145
229,Jhon Córdoba,co COL,MFFW,Instituto,26-062,2000,15.4,1,20,8,40.0,1.30,0.52,0.05,0.13,0,0,Matches,fdac9284
230,Alan Coria,ar ARG,MF,Defensa,19-089,2007,1.3,0,5,2,40.0,3.78,1.51,0.00,0.00,0,0,Matches,994d6133
231,Emanuel Coronel,ar ARG,DF,Rosario Central,29-226,1997,13.9,0,5,2,40.0,0.36,0.14,0.00,0.00,0,0,Matches,e5aa6459
232,Kevin Coronel,ar ARG,DF,Arg Juniors,22-035,2004,13.3,0,17,7,41.2,1.28,0.53,0.00,0.00,0,0,Matches,d52da527
233,Ángel Correa,ar ARG,MFFW,River Plate,31-190,1995,6.8,3,22,9,40.9,3.25,1.33,0.14,0.33,1,1,Matches,01eb744d
234,Joaquín Correa,ar ARG,MF,Estudiantes–LP,32-033,1994,3.0,0,6,2,33.3,2.00,0.67,0.00,0.00,0,1,Matches,45b9b619
235,Juan Cortazzo,ar ARG,DF,Gimnasia–LP,20-332,2005,4.5,0,5,0,0.0,1.10,0.00,0.00,,0,0,Matches,a01ac08d
236,Brayan Cortés,cl CHI,GK,Arg Juniors,31-188,1995,25.0,0,0,0,,0.00,0.00,,,0,0,Matches,51079959
237,Oscar Cortés,co COL,MFFW,Huracán,22-286,2003,19.7,2,33,12,36.4,1.67,0.61,0.06,0.17,0,0,Matches,d2c12fe0
238,Ismael Cortéz,ar ARG,DF,Gimnasia–M,24-257,2002,3.1,0,2,1,50.0,0.65,0.32,0.00,0.00,0,0,Matches,1baae639
239,Guzmán Corujo,uy URU,DF,CA San Lorenzo,30-044,1996,3.2,0,2,1,50.0,0.63,0.32,0.00,0.00,0,0,Matches,5c6051ad
240,Ayrton Costa,ar ARG,DF,Boca Juniors,27-065,1999,14.5,0,6,0,0.0,0.41,0.00,0.00,,0,0,Matches,3f831989
241,Leonard Costa,uy URU,DF,Ind. Rivadavia,28-018,1998,18.6,1,8,1,12.5,0.43,0.05,0.13,1.00,0,0,Matches,2879e7a6
242,Juan Cozzani,ar ARG,GK,Platense,27-341,1998,8.0,0,0,0,,0.00,0.00,,,0,0,Matches,fe1e4971
243,Tiago Cravero,ar ARG,MF,C. Córdoba–SdE,23-347,2002,9.2,0,3,0,0.0,0.33,0.00,0.00,,0,0,Matches,00e81ca0
244,Diego Crego,ar ARG,FWDF,Ind. Rivadavia,29-239,1997,4.8,0,7,1,14.3,1.47,0.21,0.00,0.00,0,0,Matches,563117a5
245,Franco Cristaldo,ar ARG,MFFW,Talleres–C,30-031,1996,13.9,1,11,4,36.4,0.79,0.29,0.09,0.25,0,0,Matches,25b26e2e
246,Facundo Cruz,ar ARG,MF,Independiente,20-116,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,6f005ec5
247,Juan Cruz Policella,ar ARG,MF,Vélez Sarsfield,17-043,2009,1.4,0,2,0,0.0,1.45,0.00,0.00,,0,0,Matches,e30bc3d0
248,Alexis Cuello,ar ARG,FWMF,CA San Lorenzo,26-209,2000,24.0,5,49,14,28.6,2.04,0.58,0.10,0.36,1,2,Matches,0bf6b89a
249,Brian Cuello,ar ARG,MF,Unión,28-350,1997,11.2,3,21,7,33.3,1.88,0.63,0.14,0.43,0,0,Matches,f22503a8
250,Víctor Cuesta,ar ARG,DF,Platense,37-300,1988,15.0,0,9,2,22.2,0.60,0.13,0.00,0.00,0,0,Matches,39fb428f
251,Braian Cufré,ar ARG,DF,Aldosivi,29-274,1996,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,192c89a6
252,Martín Cuitiño,ar ARG,FW,C. Córdoba–SdE,21-119,2005,0.4,1,1,1,100.0,2.31,2.31,1.00,1.00,0,0,Matches,5fa1935f
253,Mauro Da Luz,uy URU,FWMF,Aldosivi,31-314,1994,0.9,0,2,0,0.0,2.25,0.00,0.00,,0,0,Matches,537c6b97
254,Juan Dadin,ar ARG,MFFW,Aldosivi,20-118,2006,2.4,0,4,3,75.0,1.68,1.26,0.00,0.00,0,0,Matches,3148408c
255,Juan Dadin,ar ARG,FW,Ind. Rivadavia,20-118,2006,1.2,0,3,1,33.3,2.60,0.87,0.00,0.00,0,0,Matches,3148408c
256,Santiago Dalmasso,ar ARG,MF,Platense,22-089,2004,1.3,0,2,1,50.0,1.51,0.76,0.00,0.00,0,0,Matches,a2f24dc6
257,Santiago Daniele,ar ARG,DF,Banfield,20-297,2005,7.8,0,5,2,40.0,0.64,0.26,0.00,0.00,0,0,Matches,beb8f099
258,Jonathan David Gómez,ar ARG,MFFW,Sarmiento–J,36-268,1989,5.6,1,14,4,28.6,2.48,0.71,0.07,0.25,0,0,Matches,c911d311
259,Héctor David Martínez,py PAR,DF,Defensa,28-237,1998,17.3,1,16,2,12.5,0.92,0.12,0.06,0.50,0,0,Matches,03d0ea9a
260,Álvaro David Montero,co COL,GK,Vélez Sarsfield,31-170,1995,16.0,0,0,0,,0.00,0.00,,,0,0,Matches,2e3dbaa5
261,Álvaro David Montero,co COL,GK,Boca Juniors,31-170,1995,8.0,0,0,0,,0.00,0.00,,,0,0,Matches,2e3dbaa5
262,Valentín Dávila,ar ARG,FW,Talleres–C,19-239,2007,8.1,4,24,14,58.3,2.97,1.73,0.17,0.29,0,0,Matches,ca72c04e
263,Hernán De La Fuente,ar ARG,DF,Instituto,29-251,1997,0.7,1,3,2,66.7,4.03,2.69,0.33,0.50,0,0,Matches,035db54d
264,Facundo De La Vega,ar ARG,FW,Aldosivi,23-153,2003,1.6,0,3,1,33.3,1.86,0.62,0.00,0.00,0,0,Matches,7445fe34
265,Mathías De Ritis,uy URU,DFMF,CA San Lorenzo,23-227,2003,12.8,0,7,2,28.6,0.54,0.16,0.00,0.00,0,0,Matches,d2e6d986
266,Ronaldo Dejesús,py PAR,DF,Lanús,25-147,2001,11.6,0,9,1,11.1,0.78,0.09,0.00,0.00,0,0,Matches,fb591f74
267,Mateo Del Blanco,ar ARG,DFMF,Unión,22-319,2003,15.5,2,43,11,25.6,2.78,0.71,0.05,0.18,0,0,Matches,85e0feab
268,Gustavo Del Prete,ar ARG,FWMF,CA San Lorenzo,30-095,1996,1.3,0,1,0,0.0,0.76,0.00,0.00,,0,0,Matches,839ac4ea
269,Carlos Delgado,py PAR,FW,Sarmiento–J,23-309,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,345b1400
270,Milton Delgado,ar ARG,MF,Boca Juniors,21-091,2005,15.3,0,8,1,12.5,0.52,0.07,0.00,0.00,0,0,Matches,947949f1
271,Nicolás Demartini,ar ARG,DF,Barracas Central,26-315,1999,17.7,0,3,1,33.3,0.17,0.06,0.00,0.00,0,0,Matches,328cb061
272,Valentín Depietri,ar ARG,MFFW,Talleres–C,25-319,2000,9.3,4,31,13,41.9,3.32,1.39,0.13,0.31,0,0,Matches,d02cb5d7
273,José Devecchi,ar ARG,GK,CA San Lorenzo,31-068,1995,7.3,0,0,0,,0.00,0.00,,,0,0,Matches,5d448a04
274,Marco Di Cesare,ar ARG,DF,Racing Club,24-228,2002,13.0,2,11,3,27.3,0.85,0.23,0.18,0.67,0,0,Matches,28c96f20
275,Lautaro Di Lollo,ar ARG,DF,Boca Juniors,22-189,2004,18.1,1,10,4,40.0,0.55,0.22,0.10,0.25,0,0,Matches,7b58c3c3
276,Ángel Di María,ar ARG,MF,Rosario Central,38-213,1988,16.2,7,60,26,43.3,3.70,1.60,0.12,0.27,3,3,Matches,19cda00b
277,Leonel Di Plácido,ar ARG,DF,Atlé Tucumán,32-230,1994,11.7,0,9,2,22.2,0.77,0.17,0.00,0.00,0,0,Matches,a5e7e6dd
278,Alexander Díaz,ar ARG,FWMF,Dep. Riestra,26-177,2000,12.5,2,19,8,42.1,1.52,0.64,0.11,0.25,0,0,Matches,4032a5b0
279,Diego Díaz,ar ARG,FW,Unión,24-248,2002,1.1,1,6,1,16.7,5.40,0.90,0.17,1.00,0,0,Matches,b3b92d75
280,Gabriel Díaz,ar ARG,MFDF,Sarmiento–J,26-149,2000,4.8,0,2,1,50.0,0.41,0.21,0.00,0.00,0,0,Matches,a6eff0a3
281,Lautaro Díaz,ar ARG,FW,Racing Club,28-117,1998,5.2,0,4,1,25.0,0.78,0.19,0.00,0.00,0,0,Matches,28b89ba7
282,Leandro Díaz,ar ARG,FW,Atlé Tucumán,34-101,1992,16.6,7,40,21,52.5,2.41,1.26,0.18,0.33,3,5,Matches,3fee512a
283,Luis Díaz,co COL,FWMF,Ind. Rivadavia,22-175,2004,0.4,0,1,0,0.0,2.50,0.00,0.00,,0,0,Matches,81932e2e
284,Paulo Díaz,cl CHI,DF,River Plate,32-021,1994,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,Matches,3906e923
285,Jerónimo Domina,ar ARG,FW,Tigre,20-333,2005,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,25da3c90
286,Demián Domínguez,ar ARG,DF,Defensa,20-244,2006,0.2,0,2,0,0.0,8.18,0.00,0.00,,0,0,Matches,342c9317
287,Franco Dominguez,,FW,Estudiantes–LP,,,0.9,0,1,0,0.0,1.07,0.00,0.00,,0,0,Matches,efff0133
288,Javier Dominguez,py PAR,MF,Atlé Tucumán,26-112,2000,7.6,0,9,1,11.1,1.18,0.13,0.00,0.00,0,0,Matches,c9b26e83
289,Alejo Dramisino,ar ARG,MF,Dep. Riestra,26-149,2000,0.8,0,1,0,0.0,1.22,0.00,0.00,,0,0,Matches,17682846
290,Sebastián Driussi,ar ARG,FWMF,River Plate,30-218,1996,12.0,5,36,15,41.7,3.01,1.25,0.14,0.33,0,0,Matches,60e86875
291,Gaspar Duarte,ar ARG,MFFW,Rosario Central,23-252,2003,4.7,0,10,2,20.0,2.12,0.42,0.00,0.00,0,0,Matches,b0c4832b
292,Lautaro Duarte,ar ARG,MF,Dep. Riestra,21-176,2005,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,473004fb
293,Lisandro Duarte,ar ARG,MF,Rosario Central,19-056,2007,0.7,0,1,0,0.0,1.43,0.00,0.00,,0,0,Matches,8787bfc8
294,Nicolás Dubersarsky,ar ARG,MF,Tigre,21-268,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,bed3eed1
295,Jalil Elías,sy SYR,MF,Tigre,30-143,1996,16.8,1,8,2,25.0,0.48,0.12,0.13,0.50,0,0,Matches,ffab97dd
296,Jalil Elías,sy SYR,MF,Estudiantes–LP,30-143,1996,0.9,0,1,1,100.0,1.14,1.14,0.00,0.00,0,0,Matches,ffab97dd
297,Guillermo Enrique,ar ARG,DF,Aldosivi,26-203,2000,3.2,0,4,0,0.0,1.25,0.00,0.00,,0,0,Matches,4d26ae2d
298,Iván Erquiaga,ar ARG,DF,Instituto,28-173,1998,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,d6558b78
299,Gonzalo Errecalde,ar ARG,DF,Gimnasia–LP,26-169,2000,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,Matches,d33b11ab
300,Franco Escobar,ar ARG,DF,Newell's,31-206,1995,4.8,0,0,0,,0.00,0.00,,,0,0,Matches,54f33d0e
301,Simon Escobar,ar ARG,MFDF,Vélez Sarsfield,17-060,2009,4.7,0,7,0,0.0,1.48,0.00,0.00,,0,0,Matches,96c56785
302,Gonzalo Escudero,ar ARG,DF,Racing Club,19-167,2007,2.2,0,0,0,,0.00,0.00,,,0,0,Matches,11a91475
303,Alfonso Espino,uy URU,DF,Racing Club,34-253,1992,1.8,0,2,1,50.0,1.10,0.55,0.00,0.00,0,0,Matches,db001fa9
304,Juan Espínola,py PAR,GK,Barracas Central,31-317,1994,5.1,0,0,0,,0.00,0.00,,,0,0,Matches,93649708
305,Marcelo Esponda,ar ARG,MF,Newell's,23-244,2003,2.2,0,2,1,50.0,0.90,0.45,0.00,0.00,0,0,Matches,e7bc6a66
306,Santiago Esquivel,ar ARG,MF,Banfield,22-256,2004,8.1,0,4,0,0.0,0.49,0.00,0.00,,0,0,Matches,a2596370
307,Marcelo Estigarribia,ar ARG,FW,Unión,31-158,1995,18.0,4,66,22,33.3,3.66,1.22,0.06,0.18,2,2,Matches,d535f426
308,Yair Ezequiel Arismendi,ar ARG,MFDF,Sarmiento–J,28-163,1998,6.7,0,8,0,0.0,1.20,0.00,0.00,,0,0,Matches,9438188a
309,Kevin Facundo Gutiérrez,ar ARG,MF,Arg Juniors,29-104,1997,8.0,0,6,2,33.3,0.75,0.25,0.00,0.00,0,0,Matches,b9412d9e
310,Tomás Fagioli,ar ARG,DF,Unión,21-024,2005,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,7503c97a
311,Agustín Falcón,ar ARG,DFMF,Belgrano,21-237,2005,2.2,0,0,0,,0.00,0.00,,,0,0,Matches,ff0bc227
312,Facundo Farías,ar ARG,MF,CA San Lorenzo,24-018,2002,1.8,1,6,3,50.0,3.25,1.63,0.17,0.33,0,0,Matches,8863ae75
313,Facundo Farías,ar ARG,MFFW,Estudiantes–LP,24-018,2002,4.5,0,11,3,27.3,2.42,0.66,0.00,0.00,0,0,Matches,8863ae75
314,Valentín Fascendini,ar ARG,DF,Talleres–C,23-186,2003,6.4,0,5,0,0.0,0.78,0.00,0.00,,0,0,Matches,16e54624
315,Valentín Fascendini,ar ARG,DF,Unión,23-186,2003,3.1,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,16e54624
316,Federico Fattori,ar ARG,MF,Talleres–C,34-055,1992,5.5,0,2,1,50.0,0.36,0.18,0.00,0.00,0,0,Matches,80373bb5
317,Federico Fattori,ar ARG,MF,Arg Juniors,34-055,1992,15.1,0,6,2,33.3,0.40,0.13,0.00,0.00,0,0,Matches,80373bb5
318,Nazareno Fazzi,ar ARG,DF,Unión,19-259,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,4cc40666
319,Juan Fedorco,ar ARG,DF,Independiente,25-291,2000,11.8,1,11,3,27.3,0.94,0.26,0.09,0.33,0,0,Matches,36cb53e7
320,Luca Feler,ar ARG,MF,Vélez Sarsfield,18-232,2008,1.9,0,3,1,33.3,1.61,0.54,0.00,0.00,0,0,Matches,d9f7311f
321,Valentino Felici,ar ARG,FW,Rosario Central,18-218,2008,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,6844b42e
322,Adrián Fernández,ar ARG,MFFW,Racing Club,25-118,2001,7.4,1,13,4,30.8,1.75,0.54,0.08,0.25,0,0,Matches,f07e11d8
323,Augusto Fernández,ar ARG,FW,Aldosivi,20-252,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,5205be8d
324,Damián Fernández,ar ARG,DF,Defensa,25-256,2001,18.6,1,4,2,50.0,0.22,0.11,0.25,0.50,0,0,Matches,a15750e1
325,David Fernández,py PAR,FW,Defensa,20-253,2006,0.4,0,1,1,100.0,2.43,2.43,0.00,0.00,0,0,Matches,ccc5ea71
326,Esteban Fernández,ar ARG,MF,Gimnasia–M,24-252,2002,10.3,2,9,4,44.4,0.87,0.39,0.22,0.50,0,0,Matches,347d5cb0
327,Ignacio Fernández,ar ARG,MFFW,Gimnasia–LP,36-246,1990,20.8,2,34,13,38.2,1.63,0.62,0.06,0.15,0,1,Matches,97a17c0b
328,Julián Fernández,ar ARG,MFFW,Rosario Central,22-255,2004,10.3,2,18,4,22.2,1.75,0.39,0.11,0.50,0,0,Matches,83572e83
329,Julián Fernández,ar ARG,MF,Atlé Tucumán,31-177,1995,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,88d268c8
330,Leandro Fernández,ar ARG,FW,Defensa,35-187,1991,6.9,2,21,8,38.1,3.02,1.15,0.10,0.25,0,0,Matches,c18bd878
331,Leandro Fernández,ar ARG,FW,Arg Juniors,35-187,1991,1.7,0,4,1,25.0,2.42,0.60,0.00,0.00,0,0,Matches,c18bd878
332,Manuel Fernández,ar ARG,FW,Tigre,21-342,2004,0.6,0,3,0,0.0,4.91,0.00,0.00,,0,0,Matches,710eecee
333,Matías Fernández,ar ARG,MFFW,Ind. Rivadavia,25-084,2001,17.3,3,51,20,39.2,2.95,1.16,0.06,0.15,0,1,Matches,2d8dc53e
334,Nicolás Fernández,ar ARG,FW,Belgrano,30-219,1996,14.8,3,53,22,41.5,3.58,1.48,0.06,0.14,0,1,Matches,31d73bbd
335,Pol Fernández,ar ARG,MF,Rosario Central,34-339,1991,5.2,0,3,1,33.3,0.58,0.19,0.00,0.00,0,0,Matches,24377e64
336,Rodrigo Fernández,uy URU,MF,Huracán,30-255,1996,5.9,0,4,0,0.0,0.67,0.00,0.00,,0,0,Matches,617ee116
337,Rodrigo Fernández,uy URU,MF,Independiente,30-255,1996,5.3,0,5,1,20.0,0.94,0.19,0.00,0.00,0,0,Matches,617ee116
338,Santiago Fernández,ar ARG,DF,Talleres–C,21-169,2005,15.8,1,7,3,42.9,0.44,0.19,0.14,0.33,0,0,Matches,8c6fe2bf
339,Tomás Fernández,ar ARG,MFFW,Aldosivi,28-038,1998,9.1,2,17,8,47.1,1.88,0.88,0.12,0.25,0,0,Matches,491eb973
340,Juan Fernando Garro,ar ARG,FW,Estudiantes–RC,33-295,1992,2.2,0,1,0,0.0,0.45,0.00,0.00,,0,0,Matches,6009bf94
341,Gianluca Ferrari,ar ARG,DF,Atlé Tucumán,29-077,1997,8.0,0,8,1,12.5,1.00,0.12,0.00,0.00,0,0,Matches,09e1d2b1
342,Clever Ferreira,py PAR,DF,Atlé Tucumán,23-207,2003,17.3,3,22,7,31.8,1.27,0.41,0.14,0.43,0,0,Matches,7221c7da
343,Javier Ferreira,py PAR,FW,Estudiantes–RC,34-212,1992,5.8,0,15,3,20.0,2.58,0.52,0.00,0.00,0,0,Matches,599d9ac8
344,Pablo Ferreira,ar ARG,MF,Platense,21-327,2004,6.8,0,8,0,0.0,1.17,0.00,0.00,,0,0,Matches,8306e93b
345,Brian Ferreyra,ar ARG,FW,Gimnasia–M,29-308,1996,2.7,0,5,1,20.0,1.87,0.37,0.00,0.00,0,0,Matches,f4145a0e
346,Cristopher Fiermarin,uy URU,GK,Defensa,28-257,1998,16.0,0,0,0,,0.00,0.00,,,0,0,Matches,9a910a78
347,Jorge Figal,ar ARG,DF,Boca Juniors,32-165,1994,7.0,0,5,1,20.0,0.71,0.14,0.00,0.00,0,0,Matches,91e44066
348,Gabriel Florentín,ar ARG,MF,Arg Juniors,27-186,1999,2.7,0,2,0,0.0,0.74,0.00,0.00,,0,0,Matches,9e809ff4
349,Jose Florentín,py PAR,MF,Ind. Rivadavia,30-072,1996,22.4,5,39,15,38.5,1.74,0.67,0.13,0.33,0,0,Matches,c5510535
350,Gonzalo Flores,ar ARG,MF,Dep. Riestra,24-205,2002,1.7,0,3,0,0.0,1.75,0.00,0.00,,0,0,Matches,e7ba6063
351,Joaquin Flores,ar ARG,MF,C. Córdoba–SdE,21-110,2005,1.5,0,1,0,0.0,0.66,0.00,0.00,,0,0,Matches,06448418
352,Leonel Flores,ar ARG,FWMF,Boca Juniors,19-221,2007,7.0,0,22,7,31.8,3.14,1.00,0.00,0.00,0,0,Matches,bfd2f2f4
353,Matias Fonseca,uy URU,FW,Instituto,25-187,2001,6.4,1,16,3,18.8,2.49,0.47,0.06,0.33,0,0,Matches,a92c629d
354,Ezequiel Forclaz,ar ARG,MF,Estudiantes–RC,23-165,2003,1.2,0,2,0,0.0,1.71,0.00,0.00,,0,0,Matches,8e301679
355,Alan Forneris,ar ARG,MF,Racing Club,21-230,2005,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,1a0e5cb7
356,Francisco Fraga,ar ARG,FW,Racing Club,20-210,2006,0.4,0,1,1,100.0,2.43,2.43,0.00,0.00,0,0,Matches,58bd5ff8
357,Franco Fragapane,ar ARG,MF,Unión,33-221,1993,2.1,0,4,2,50.0,1.88,0.94,0.00,0.00,0,0,Matches,09538c47
358,Juan Franco Arrellaga,py PAR,DF,Gimnasia–M,34-217,1992,7.1,0,1,0,0.0,0.14,0.00,0.00,,0,0,Matches,6015ddd0
359,Nicolás Freire,ar ARG,DF,Independiente,32-209,1994,0.2,0,2,1,50.0,9.47,4.74,0.00,0.00,0,0,Matches,653222cd
