,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
91,Adrián Balboa,uy URU,FW,Banfield,32-239,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42cd719c
92,Éver Banega,ar ARG,MF,Defensa,38-078,1988,10,3,355,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fa937f7a
93,Nahuel Banegas,ar ARG,DF,Tigre,29-344,1996,12,10,857,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,55551a71
94,Juan Barbieri,ar ARG,FW,Barracas Central,29-363,1996,3,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,64daaa57
95,Miguel Barbieri,ar ARG,DF,Dep. Riestra,33-022,1993,9,7,566,6.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0e8cbfc4
96,David Barbona,ar ARG,MFFW,Defensa,31-205,1995,18,11,975,10.8,4,1,5,4,0,1,1,0,0.37,0.09,0.46,0.37,0.46,Matches,62eef061
97,Nahuel Barboza,ar ARG,MF,Gimnasia–M,26-364,1999,17,5,704,7.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b393a6c0
98,Adam Bareiro,py PAR,FW,Boca Juniors,30-051,1996,9,7,675,7.5,3,1,4,3,0,0,4,0,0.40,0.13,0.53,0.40,0.53,Matches,afb7f0ea
99,Juan Barinaga,ar ARG,DF,Boca Juniors,25-340,2000,9,9,710,7.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6bdb7078
100,Juan Barinaga,ar ARG,DF,Racing Club,25-340,2000,1,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6bdb7078
101,Williams Barlasina,ar ARG,GK,Newell's,28-078,1998,5,4,378,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bea9b02f
102,Giovanni Baroni,ar ARG,MFFW,Talleres–C,17-237,2009,17,9,796,8.8,0,3,3,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches,4dff9e5a
103,Diego Barrera,ar ARG,MFDF,C. Córdoba–SdE,22-085,2004,24,21,1794,19.9,3,0,3,3,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Matches,3ad28381
104,Alan Barrionuevo,ar ARG,DF,Tigre,29-256,1997,24,24,2160,24.0,2,2,4,2,0,0,2,0,0.08,0.08,0.17,0.08,0.17,Matches,f2e5d390
105,Martín Barrios,uy URU,MF,Platense,27-234,1999,15,10,882,9.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,715c684b
106,Nahuel Barrios,ar ARG,MF,CA San Lorenzo,28-131,1998,9,2,326,3.6,0,1,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches,b2fabf7e
107,Rafael Barrios,ar ARG,DFMF,Barracas Central,33-115,1993,17,13,1087,12.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,16f7625e
108,Bautista Barros Schelotto,ar ARG,DF,Gimnasia–LP,26-245,2000,11,8,749,8.3,1,1,2,1,0,0,3,0,0.12,0.12,0.24,0.12,0.24,Matches,ab935d6a
109,Bruno Barticciotto,cl CHI,FWMF,Huracán,25-131,2001,2,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,11a865cb
110,Bruno Barticciotto,cl CHI,FW,Talleres–C,25-131,2001,5,1,87,1.0,0,1,1,0,0,0,0,0,0.00,1.03,1.03,0.00,1.03,Matches,11a865cb
