,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
444,Rodrigo Granillo,ar ARG,MF,Atlé Tucumán,20-226,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6cfc2354
445,Santiago Grella,ar ARG,MF,Unión,21-183,2005,4,0,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d62bf368
446,Iván Guaraz,ar ARG,MF,Barracas Central,21-127,2005,11,5,479,5.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,75c06d00
447,Facundo Guch,ar ARG,MF,Newell's,19-238,2007,23,22,1609,17.9,2,4,6,2,0,0,4,0,0.11,0.22,0.34,0.11,0.34,Matches,d6c09370
448,Nicolás Guerra,cl CHI,FWMF,Instituto,27-249,1999,19,5,592,6.6,1,0,1,1,0,0,4,0,0.15,0.00,0.15,0.15,0.15,Matches,a4d527c6
449,Álvaro Güich,ar ARG,DF,Rosario Central,17-257,2009,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,704874c1
450,Tomás Guidara,ar ARG,DF,Lanús,30-186,1996,20,19,1638,18.2,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,14efa370
451,Germán Guiffrey,ar ARG,DF,Gimnasia–M,28-258,1997,3,1,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,80fbd865
452,Facundo Gulli,ar ARG,MFFW,CA San Lorenzo,20-355,2005,21,15,1038,11.5,0,2,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches,62b0b5ad
453,Rodrigo Guth,br BRA,DF,Talleres–C,25-309,2000,2,1,103,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cb1916e0
454,Juan Gutierrez,uy URU,MFFW,Defensa,24-223,2002,25,24,2088,23.2,4,6,10,4,0,0,3,0,0.17,0.26,0.43,0.17,0.43,Matches,1b37c107
455,Kevin Gutiérrez,ar ARG,MF,Rosario Central,20-228,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,288ac952
456,Lautaro Gutierrez,ar ARG,FW,Belgrano,20-222,2006,16,2,432,4.8,2,0,2,2,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,5260ba4a
457,Maximiliano Gutiérrez,cl CHI,MFFW,Independiente,22-135,2004,14,9,790,8.8,3,1,4,3,0,0,1,0,0.34,0.11,0.46,0.34,0.46,Matches,ad65188e
458,Natanael Guzmán,ar ARG,FWMF,Aldosivi,27-035,1999,13,5,442,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10fe416e
459,Ezequiel Ham,sy SYR,MF,Atlé Tucumán,32-189,1994,16,9,757,8.4,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,300753b4
460,Agustin Hausch,ar ARG,MFFW,Defensa,23-117,2003,21,13,975,10.8,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,098a28f8
461,Diego Herazo,co COL,FW,CA San Lorenzo,30-154,1996,8,0,113,1.3,1,1,2,1,0,0,0,0,0.80,0.80,1.59,0.80,1.59,Matches,c78eb31f
462,Leonardo Heredia,ar ARG,FWMF,Platense,30-247,1996,19,10,793,8.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,45cfa4ba
463,Ramiro Hernandes,ar ARG,MF,Belgrano,21-307,2004,24,8,1007,11.2,2,2,4,2,0,0,3,0,0.18,0.18,0.36,0.18,0.36,Matches,bd04e8dc
464,Gastón Hernández,ar ARG,DF,CA San Lorenzo,28-239,1998,9,9,798,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7b33603b
465,Matías Hernández,ar ARG,FW,CA San Lorenzo,21-101,2005,2,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,535f8db8
466,Matías Hernández,ar ARG,FW,Banfield,21-101,2005,4,2,160,1.8,1,0,1,0,1,1,0,0,0.56,0.00,0.56,0.00,0.00,Matches,535f8db8
467,Ander Herrera,es ESP,MF,Boca Juniors,37-032,1989,9,5,466,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,436a9dd0
468,Ezequiel Herrera,ar ARG,DF,CA San Lorenzo,23-236,2003,21,20,1816,20.2,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,5432fe10
469,Facundo Herrera,ar ARG,DF,Boca Juniors,20-066,2006,3,1,158,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee97ee32
470,Guido Herrera,ar ARG,GK,Talleres–C,34-198,1992,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4b9b1f3a
471,Jonathan Herrera,ar ARG,FW,Dep. Riestra,34-364,1991,16,12,979,10.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2f6ff462
472,Jonathan Herrera,ar ARG,FW,Sarmiento–J,34-364,1991,9,7,563,6.3,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,2f6ff462
473,Rodrigo Herrera,ar ARG,MF,Newell's,26-044,2000,20,16,1316,14.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1537c952
474,Ibrahim Hesar,sy SYR,FW,Estudiantes–RC,32-304,1993,7,5,493,5.5,1,0,1,0,1,1,3,0,0.18,0.00,0.18,0.00,0.00,Matches,34a98984
475,Michael Hoyos,ar ARG,FW,Newell's,35-044,1991,9,3,432,4.8,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,76cf9432
476,Marco Iacobellis,ar ARG,MFFW,C. Córdoba–SdE,26-262,1999,20,10,967,10.7,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,93cfb989
477,Fabricio Iacovich,ar ARG,GK,Estudiantes–LP,24-229,2002,9,8,765,8.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf6410b8
478,César Ibáñez,ar ARG,DF,Huracán,27-090,1999,20,19,1629,18.1,0,3,3,0,0,0,11,1,0.00,0.17,0.17,0.00,0.17,Matches,78d48e60
479,Franco Ibarra,ar ARG,MF,Rosario Central,25-140,2001,22,21,1896,21.1,0,1,1,0,0,0,9,0,0.00,0.05,0.05,0.00,0.05,Matches,db6540c5
480,Marcos Ignacio Ledesma,ar ARG,GK,Instituto,30-000,1996,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97232163
481,Juan Ignacio Méndez,ar ARG,MF,Instituto,29-140,1997,19,7,728,8.1,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,035a3093
482,Juan Ignacio Ramírez,uy URU,FW,Newell's,29-226,1997,18,8,767,8.5,4,1,5,3,1,1,0,0,0.47,0.12,0.59,0.35,0.47,Matches,ad513a6b
483,Juan Infante,ar ARG,DF,Atlé Tucumán,30-251,1996,3,2,183,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13f61a69
484,Gino Infantino,ar ARG,MF,Arg Juniors,23-119,2003,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,546c7f68
485,Celías Ingenthron,ar ARG,DF,Platense,18-079,2008,5,3,292,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7f076123
486,Luis Ingolotti,ar ARG,GK,Atlé Tucumán,26-244,2000,25,25,2250,25.0,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches,e5b1d1e6
487,José Ingratti,ar ARG,FW,Dep. Riestra,26-049,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6756735
488,Emanuel Iñíguez,ar ARG,DF,Aldosivi,29-364,1996,2,1,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ff022a7c
489,Manuel Insaurralde,ar ARG,MF,CA San Lorenzo,27-227,1999,11,9,716,8.0,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,eb1df660
490,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,31-114,1995,23,23,2007,22.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6a72010c
491,Rodrigo Insúa,ar ARG,MFDF,Barracas Central,28-273,1997,24,22,1990,22.1,3,1,4,1,2,2,4,0,0.14,0.05,0.18,0.05,0.09,Matches,094c0621
492,Carlos Izquierdoz,ar ARG,DF,Lanús,37-316,1988,21,21,1886,21.0,3,1,4,3,0,1,8,0,0.14,0.05,0.19,0.14,0.19,Matches,cf5c3ef1
493,Cristian Jaime,ar ARG,FW,River Plate,20-063,2006,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7ecb2377
494,Facundo Jainikoski,ar ARG,FWMF,Arg Juniors,18-184,2008,20,5,731,8.1,0,2,2,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,bbb925bf
495,Lucas Janson,ar ARG,FWMF,Boca Juniors,32-030,1994,3,3,182,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f3f2db7a
496,Lucas Janson,ar ARG,MF,Gimnasia–LP,32-030,1994,6,3,294,3.3,0,1,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,Matches,f3f2db7a
497,Kevin Jappert,ar ARG,DF,Barracas Central,22-202,2004,18,14,1299,14.4,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,879d015a
498,Franco Jara,ar ARG,FW,Instituto,38-062,1988,11,8,710,7.9,1,0,1,0,1,2,2,0,0.13,0.00,0.13,0.00,0.00,Matches,413cce14
499,Máximo Jonás Cabrera,ar ARG,MF,Defensa,17-347,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,67f52669
500,David Juárez,ar ARG,FW,Aldosivi,18-295,2007,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b4f69c77
501,Fernando Juárez,ar ARG,MF,C. Córdoba–SdE,28-023,1998,4,3,315,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2aebc81b
502,Julián Kadijevic,ar ARG,GK,Gimnasia–LP,22-231,2004,2,1,153,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fab2776f
503,Nsumoh Kalu,sk SVK,FW,Dep. Riestra,25-093,2001,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,63b9e3c3
504,Ryoga Kida,jp JPN,FW,Arg Juniors,21-062,2005,5,0,94,1.0,1,0,1,1,0,0,0,0,0.96,0.00,0.96,0.96,0.96,Matches,143ec41e
505,Luca Klimowicz,ar ARG,FW,Instituto,22-119,2004,2,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40b1ca34
506,Matías Kranevitter,ar ARG,MF,Racing Club,33-117,1993,5,3,269,3.0,0,1,1,0,0,0,3,0,0.00,0.33,0.33,0.00,0.33,Matches,314bdac5
507,Agustín Ladstatter,ar ARG,MF,CA San Lorenzo,21-102,2005,15,5,501,5.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,22070e3e
508,Agustín Lagos,ar ARG,DF,Platense,24-341,2001,12,5,535,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,09cdea58
509,Lucas Lamella,ar ARG,DF,Gimnasia–LP,16-278,2009,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4856993
510,Nicolás Laméndola,ar ARG,MFFW,Atlé Tucumán,27-277,1998,23,20,1748,19.4,1,1,2,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,Matches,bde55241
511,Leonardo Landriel,ar ARG,MF,Dep. Riestra,30-063,1996,2,0,20,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1e9ff026
512,Manuel Lanzini,ar ARG,MF,Vélez Sarsfield,33-212,1993,25,23,1872,20.8,6,0,6,6,0,0,2,0,0.29,0.00,0.29,0.29,0.29,Matches,26f6dca8
513,Thiago Laplace,ar ARG,MF,Lanús,20-165,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,39b3e1a9
514,Alan Laprida,ar ARG,MF,C. Córdoba–SdE,21-350,2004,11,3,416,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1cb8e301
515,Joaquín Laso,ar ARG,DF,Tigre,36-073,1990,17,17,1492,16.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,3c7a3791
516,Agustín Lastra,ar ARG,GK,Estudiantes–RC,25-256,2001,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,36fef392
517,Federico Laurelli,ar ARG,MFDF,Aldosivi,22-067,2004,4,3,240,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4881c373
518,Jeremías Lázaro,ar ARG,MFFW,Instituto,22-079,2004,20,3,642,7.1,1,3,4,1,0,0,1,0,0.14,0.42,0.56,0.14,0.56,Matches,f1a9a9f0
519,Jeremías Ledesma,ar ARG,GK,Rosario Central,33-214,1993,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6c4776b1
520,Tobías Leiva,ar ARG,MF,Estudiantes–RC,22-218,2004,3,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,702d6920
521,Gonzalo Lencina,ar ARG,FW,Platense,28-332,1997,14,8,668,7.4,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,e9263403
522,Santiago Lencina,ar ARG,MF,River Plate,21-011,2005,4,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8d88e3be
523,Facundo Lencioni,ar ARG,MF,Gimnasia–M,25-213,2001,25,25,2094,23.3,4,7,11,4,0,1,5,0,0.17,0.30,0.47,0.17,0.47,Matches,afc6d172
524,Alan Lescano,ar ARG,MF,Arg Juniors,24-308,2001,22,22,1814,20.2,4,0,4,3,1,1,5,0,0.20,0.00,0.20,0.15,0.15,Matches,b88b1142
525,Leandro Lescano,ar ARG,DF,Huracán,23-196,2003,8,4,297,3.3,0,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matches,75aed4a8
526,Bruno Leyes,ar ARG,MF,Tigre,24-320,2001,19,14,1218,13.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,07453486
527,Franco Leys,ar ARG,MF,Aldosivi,32-332,1993,11,4,504,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6c149b4d
528,Nicolás Linares,ar ARG,MF,Aldosivi,30-193,1996,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dbc15928
529,Nicolás Linares,ar ARG,MF,Gimnasia–M,30-193,1996,8,8,652,7.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,dbc15928
530,Francesco Lo Celso,ar ARG,MF,Estudiantes–RC,26-194,2000,4,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53ea4157
531,Gonzalo Lobos,py PAR,FW,Lanús,19-224,2007,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b206ca78
532,Gastón Lodico,ar ARG,MF,Racing Club,28-110,1998,4,2,226,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0373879c
533,Gastón Lodico,ar ARG,MF,Instituto,28-110,1998,15,14,1110,12.3,0,2,2,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches,0373879c
534,Kevin Lomónaco,ar ARG,DF,Independiente,24-250,2002,23,20,1779,19.8,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches,dd5ddb83
535,Santiago Longo,ar ARG,MF,Belgrano,28-156,1998,15,6,630,7.0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,9a102b86
536,Elías López,ar ARG,DFMF,Aldosivi,26-069,2000,7,5,448,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bc78521f
537,Fabricio López,ar ARG,DF,CA San Lorenzo,23-298,2002,5,2,263,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0c1481b0
538,Julián López,ar ARG,MF,Defensa,26-250,2000,7,1,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,698923cf
539,Lisandro López,ar ARG,DF,Belgrano,37-014,1989,21,21,1828,20.3,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,8320fe65
540,Marcos López,ar ARG,DF,Banfield,19-337,2006,1,0,9,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2f72b86c
541,Hernán López Muñoz,ar ARG,FWMF,Arg Juniors,26-008,2000,20,17,1286,14.3,4,3,7,4,0,0,0,1,0.28,0.21,0.49,0.28,0.49,Matches,2e8597d8
542,Nicolás López,uy URU,FW,Platense,32-349,1993,6,1,150,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8d2ee5e2
543,Santiago López,ar ARG,DFMF,Banfield,28-285,1997,25,24,2155,23.9,2,5,7,2,0,0,3,0,0.08,0.21,0.29,0.08,0.29,Matches,2240f653
544,Santiago López,ar ARG,MFFW,Tigre,20-218,2006,24,17,1509,16.8,1,2,3,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18,Matches,0a7d98ae
545,Franco Lorenzón,ar ARG,DF,CA San Lorenzo,25-180,2001,3,3,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9b68edc2
546,Nahuel Losada,ar ARG,GK,Lanús,33-151,1993,23,23,2070,23.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f07d5b4d
547,Augusto Lotti,it ITA,MF,Platense,30-097,1996,9,1,205,2.3,2,0,2,2,0,0,0,0,0.88,0.00,0.88,0.88,0.88,Matches,659fa937
548,Valentín Loza,ar ARG,DF,Defensa,19-215,2007,7,4,420,4.7,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,3675678a
549,Leandro Lozano,uy URU,DFMF,Arg Juniors,27-270,1998,11,11,942,10.5,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,35525fb0
550,Leandro Lozano,uy URU,DF,Boca Juniors,27-270,1998,4,3,265,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35525fb0
551,Raúl Lozano,ar ARG,DFMF,Estudiantes–RC,29-013,1997,11,6,541,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,1fcefc90
552,Jeremías Lucco,ar ARG,DF,Belgrano,20-279,2005,3,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,50845a91
553,Jeremías Lucco,ar ARG,MF,Defensa,20-279,2005,5,1,184,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,50845a91
554,Esteban Lucero,ar ARG,DFMF,Defensa,21-048,2005,11,7,642,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,307002fa
555,Valentín Lucero,ar ARG,MF,River Plate,20-167,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d08b4250
556,Martín Luciano,ar ARG,DFMF,Newell's,22-281,2003,9,7,501,5.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2c29ddcc
557,Juan Ludueña,ar ARG,DF,Unión,23-216,2003,24,22,2044,22.7,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,Matches,6bee1610
558,Juan Luis Alfaro,ar ARG,MFDF,Banfield,26-334,1999,5,4,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eacbb10d
559,José Luis Palomino,ar ARG,DF,Talleres–C,36-253,1990,8,5,525,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,921f6058
560,Alex Luna,ar ARG,MFFW,Instituto,22-168,2004,23,23,1870,20.8,6,2,8,4,2,3,6,0,0.29,0.10,0.39,0.19,0.29,Matches,cf85ad26
561,Mauro Luna Diale,ar ARG,FWMF,Platense,27-142,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19d9859a
562,Mauro Luna Diale,ar ARG,MF,Unión,27-142,1999,6,2,261,2.9,0,1,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,Matches,19d9859a
563,Ramiro Macagno,ar ARG,GK,Ind. Rivadavia,29-181,1997,1,1,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,64293bed
564,Alexander Machado,uy URU,FW,Banfield,24-110,2002,5,5,411,4.6,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,9e1943d7
565,Imanol Machuca,my MAS,MF,Vélez Sarsfield,26-243,2000,4,2,154,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,37747484
566,Alejandro Maciel,ar ARG,DF,C. Córdoba–SdE,29-146,1997,23,23,2070,23.0,1,1,2,1,0,0,8,0,0.04,0.04,0.09,0.04,0.09,Matches,1522a5cc
567,Gonzalo Maffini,ar ARG,DF,Estudiantes–RC,33-241,1993,20,20,1799,20.0,0,1,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,Matches,f101b79a
568,Lisandro Magallán,ar ARG,DF,Vélez Sarsfield,32-353,1993,20,19,1677,18.6,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,01a49bd2
569,Pablo Magnín,ar ARG,FW,Sarmiento–J,36-143,1990,9,5,371,4.1,1,1,2,1,0,0,0,0,0.24,0.24,0.49,0.24,0.49,Matches,d51af27a
570,Alexandro Maidana,py PAR,DFMF,Talleres–C,21-051,2005,12,10,874,9.7,2,0,2,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,4d0d5020
571,Guido Mainero,ar ARG,MF,Platense,31-176,1995,24,21,1667,18.5,2,0,2,2,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,c7f7afc5
572,Renzo Malanca,ar ARG,DF,Banfield,23-132,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc1afef7
573,Víctor Malcorra,ar ARG,MF,Independiente,39-053,1987,14,13,1131,12.6,1,3,4,1,0,0,2,0,0.08,0.24,0.32,0.08,0.32,Matches,90a0bb3b
574,Víctor Malcorra,ar ARG,MF,Unión,39-053,1987,7,6,502,5.6,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,Matches,90a0bb3b
575,Alexis Maldonado,ar ARG,DF,Belgrano,29-013,1997,18,17,1453,16.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,323d23e6
576,Facundo Mallo,uy URU,DF,Rosario Central,31-242,1995,12,8,818,9.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,d3e5285f
577,Emanuel Mammana,ar ARG,DF,Vélez Sarsfield,30-217,1996,22,18,1638,18.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7e927fda
578,Federico Mancuello,ar ARG,DFFW,Independiente,37-173,1989,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1cf57c7
579,Eros Mancuso,ar ARG,DF,Estudiantes–LP,27-151,1999,18,9,999,11.1,1,0,1,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,e2d40bc5
580,Facundo Mansilla,ar ARG,DF,C. Córdoba–SdE,27-200,1999,20,20,1717,19.1,1,0,1,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,Matches,488f3ee3
581,Matías Mansilla,ar ARG,GK,Unión,30-212,1996,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,30c0c914
582,Juan Manuel Cabrera,ar ARG,DF,Sarmiento–J,26-189,2000,8,3,364,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,aac4529a
583,Juan Manuel Elordi,ar ARG,DFMF,Ind. Rivadavia,32-025,1994,23,18,1662,18.5,1,2,3,1,0,0,3,0,0.05,0.11,0.16,0.05,0.16,Matches,7b05e904
584,Juan Manuel Insaurralde,ar ARG,DF,Sarmiento–J,41-347,1984,22,22,1910,21.2,0,0,0,0,0,0,9,2,0.00,0.00,0.00,0.00,0.00,Matches,deb82749
585,Junior Marabel,py PAR,FW,Sarmiento–J,28-173,1998,25,23,1906,21.2,12,4,16,8,4,5,1,0,0.57,0.19,0.76,0.38,0.57,Matches,47b94865
586,Agustín Marchesín,ar ARG,GK,Boca Juniors,38-183,1988,12,12,1071,11.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,853b7c48
587,Leonardo Marchi,ar ARG,DF,C. Córdoba–SdE,29-363,1996,7,3,305,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,aa1f30ec
588,Tomás Marchiori,ar ARG,GK,Vélez Sarsfield,31-087,1995,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1c00ff13
589,Sasha Marcich,ar ARG,DF,Lanús,28-109,1998,24,23,2043,22.7,1,2,3,1,0,0,5,0,0.04,0.09,0.13,0.04,0.13,Matches,6d8d706a
590,Iván Marcone,ar ARG,MF,Independiente,36-104,1990,23,22,1920,21.3,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,b14f755d
591,Gonzalo Maroni,ar ARG,FWMF,Barracas Central,27-181,1999,19,6,838,9.3,2,0,2,2,0,0,6,0,0.21,0.00,0.21,0.21,0.21,Matches,e01ca8f4
592,Brandon Márquez,ar ARG,,Sarmiento–J,21-205,2005,4,0,59,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f4dd01dd
593,Rodrigo Márquez,ar ARG,FW,Aldosivi,24-212,2002,4,0,118,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad6df5d4
594,Adrián Martínez,ar ARG,FW,Racing Club,34-070,1992,19,18,1532,17.0,4,0,4,3,1,2,3,1,0.23,0.00,0.23,0.18,0.18,Matches,6c513f98
